201,ボー防,C,・おつかい横丁　たそがれ通り　茂みの中（昼）,お菓子,・【妖怪ガシャ】わくわくコインン
202,しどろもどろ,B,・おつかい横丁　こかげ通り　茂みの中,お菓子,・
203,ミチクササメ,C,・桜街地下水道,野菜,・
204,トーシロザメ,B,・そよ風ヒルズ　もののけ道,野菜,・
205,ムダヅカイ,C,・よそ風ヒルズ　西の川,パン,・
206,はらわシェル,B,・そよ風ヒルズ　西の川（夜）,パン,・おおもり山　神社の「お賽銭」で出現
207,ナガハナ,C,・おつかい横丁　あんのん団地　空き部屋,お菓子,・
208,ナガバナナ,A,・おつかい横丁　あんのん団地　空き部屋,お菓子,・
209,しきるん蛇,B,・さくらニュータウン　さくら第一小学校　校舎（夜）,魚,・
210,すねスネーク,B,・サンライズ通り　茂みの中,魚,・
211,まむし行司,A,・妖魔界,魚,・
212,オロチ,S,・メインクエスト,魚,・メインクエスト中に倒すと友達になる
213,影オロチ,S,・,魚,・【妖怪ガシャ】スペシャルコインor水色コイン
214,ブシニャン,S,・【レジェンド妖怪について】,,・
215,しゅらコマ,S,・【レジェンド妖怪について】,,・
216,イケメン犬,S,・【レジェンド妖怪について】,,・
217,花さか爺,S,・【レジェンド妖怪について】,,・
218,山吹鬼,S,・【レジェンド妖怪について】,,・
219,サファイニャン,A,・【宝石系ジバニャンについて】,,・QRコード
220,エメラルニャン,A,・【宝石系ジバニャンについて】,,・QRコード
221,ルビーニャン,A,・【宝石系ジバニャンについて】,,・QRコード
222,トパニャン,A,・【宝石系ジバニャンについて】,,・QRコード
223,ダイヤニャン,A,・【宝石系ジバニャンについて】,,・QRコード
